Date,Startup,Industry,Locations,Investors,Type,Turnover
2020-01-09,Byjus,E-Tech,Bangalore,Tiger Global Management,Private,2000
2020-01-13,Shuttl,Transport,Gurgaon,Susquehanna Growth Equity,Series C,80
2020-01-09,Mamaearth,Ecommerce,Bangalore,Sequoia Capital India,Series B,184
2020-01-02,Wealthbucket,Fintech,New-Delhi,Vinod Khatumal,Series A,30
2020-01-02,Fashor,Fashion And Apparel,Mumbai,Sprout Venture Partners,Seed,18
2020-01-13,Pando,Logistics,Chennai,Chiratae Ventures,Series A,90
2020-01-10,Zomato,Hospitality,Gurgaon,Ant Financial,Private,1500
2019-12-12,Ecozen,Tech,Pune,Sathguru Catalyzer Advisors,Series A,60
2019-12-06,Cardekho,Ecommerce,Gurgaon,Ping An Global Voyager Fund,Series D,700
2019-12-03,Dhruva Space,Aerospace,Bangalore,"Mumbai Angels, Ravikanth Reddy",Seed,500
2019-12-13,Rivigo,Tech,Gurgaon,"Saif Partners, Spring Canter Investment Ltd",Series F,200
2019-12-17,Healthians,B2B Platform,Bangalore,"Paytm, Nptk, Sabre Partners And Neoplux",Series C,120
2019-12-16,Licious,Ecommerce,Bangalore,Vertex Growth Fund,Series E,300
2019-12-14,Trell,Video Games,Bangalore,Ruizheng Investment,Seed,20
2019-12-11,Rein Games,Gaming,Noida,Manipal Education And Medical Group Memg,Seed,500
2019-12-20,Lenskart,Ecommerce,Faridabad,Softbank Vision Fund,Series G,2310
2019-11-13,Freshworks,Software,San-Francisco,"Sequoia, Capitalg, Accel",Series H,1500
2019-11-14,Misters,Health Care,Gurgaon,"Saucevc, Rainforest Ventures",Series B,5
2019-11-13,Sunstone Eduversity Pvt Ltd,Education,Gurgaon,"Prime Venture Partners, Letsventure, Ps1 Venture And Globallogic Co-Founder Rajul Garg",Seed,15
2019-11-17,Burger Singh,Food Beverages,Gurgaon,Rb Investments,Venture,0
2019-11-18,Healthians,Health Care,Gurgaon,"Dg Daiwa Ventures, Dg Incubation",Series B,120
2019-11-15,Ninjacart,B2B Platform,Bangalore,Trifecta Capital Advisors,Debt,260
